"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word","aoa","caoa","normLD","cnormLD"
1,"English",40,0.484629929,"Switch","Nonhomograph",5,-0.733132579,118,1.05758766,NA,NA,NA,NA,NA,NA,146,4.983606622,66,"temps","tent",14,1.73684885489988,0.4,0.239927761091771
1,"English",40,0.484629929,"Switch","Homograph",7,0.015089442,55,-0.3624527,443,6.09356977,1106,7.008505182,233,5.451038454,410,6.01615716,62,"suivant","manger",14,1.73684885489988,0.111111111111111,-0.862612570227487
1,"English",40,0.484629929,"Nonswitch","Homograph",13,2.259755505,134,1.41823283,757,6.629363253,757,6.629363253,168,5.123963979,676,6.516193076,67,"laughingstock","roman",14,1.73684885489988,0.153846153846154,-0.699514888079667
1,"English",40,0.484629929,"Nonswitch","Homograph",9,0.763311463,61,-0.227210761,247,5.509388337,247,5.509388337,NA,NA,NA,NA,53,"suggested","lice",14,1.73684885489988,0.555555555555556,0.833603324109835
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",8,0.389200452,82,0.246136025,222,5.402677382,222,5.402677382,NA,NA,NA,NA,63,"setbacks","dig",14,1.73684885489988,0.181818181818182,-0.592760041582912
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",5,-0.733132579,44,-0.610396255,NA,NA,NA,NA,168,5.123963979,168,5.123963979,43,"bored","tune",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Nonswitch","Homograph",5,-0.733132579,52,-0.43007367,69,4.234106505,352,5.863631176,NA,NA,NA,NA,43,"liked","chat",14,1.73684885489988,0.25,-0.332545103247074
1,"English",40,0.484629929,"Nonswitch","Homograph",4,-1.10724359,115,0.98996669,NA,NA,NA,NA,162,5.087596335,391,5.96870756,73,"skin","rayon",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Switch","Homograph",9,0.763311463,73,0.043273117,208,5.33753808,208,5.33753808,NA,NA,231,5.442417711,74,"plus tard","sale",14,1.73684885489988,0.333333333333333,-0.0145046230588283
1,"English",40,0.484629929,"Switch","Nonhomograph",13,2.259755505,102,0.696942489,277,5.624017506,664,6.498282149,270,5.598421959,270,5.598421959,44,"connaissaient","hotel",14,1.73684885489988,0.153846153846154,-0.699514888079667
1,"English",40,0.484629929,"Nonswitch","Homograph",7,0.015089442,50,-0.475154316,NA,NA,NA,NA,219,5.38907173,219,5.38907173,51,"watched","fin",14,1.73684885489988,0.111111111111111,-0.862612570227487
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",4,-1.10724359,148,1.733797355,185,5.220355825,185,5.220355825,283,5.645446898,283,5.645446898,71,"have","sip",14,1.73684885489988,0.2,-0.523369391360023
1,"English",40,0.484629929,"Nonswitch","Homograph",9,0.763311463,65,-0.137049469,179,5.187385806,179,5.187385806,216,5.375278408,216,5.375278408,49,"carefully","dent",14,1.73684885489988,0.0769230769230769,-0.993090715945742
1,"English",40,0.484629929,"Switch","Homograph",5,-0.733132579,71,-0.001807529,NA,NA,379,5.937536205,212,5.356586275,212,5.356586275,70,"bonne","vest",14,1.73684885489988,0.2,-0.523369391360023
1,"English",40,0.484629929,"Switch","Nonhomograph",8,0.389200452,16,-1.241525304,241,5.484796933,443,6.09356977,NA,NA,411,6.018593214,58,"vacances","penguin",14,1.73684885489988,0.5,0.621576337317668
1,"English",40,0.484629929,"Nonswitch","Homograph",9,0.763311463,93,0.49407958,392,5.97126184,392,5.97126184,322,5.774551546,322,5.774551546,65,"exemplary","parole",14,1.73684885489988,0.8,1.76652206599536
1,"English",40,0.484629929,"Nonswitch","Homograph",5,-0.733132579,150,1.778878001,172,5.147494477,172,5.147494477,184,5.214935758,184,5.214935758,47,"hours","cent",14,1.73684885489988,0.666666666666667,1.25765729769416
1,"English",40,0.484629929,"Switch","Nonhomograph",7,0.015089442,62,-0.204670438,371,5.916202063,371,5.916202063,526,6.265301213,526,6.265301213,54,"recette","boar",14,1.73684885489988,0.571428571428571,0.894182463193307
1,"English",40,0.484629929,"Switch","Homograph",6,-0.359021569,161,2.026821556,1046,6.952728645,1046,6.952728645,392,5.97126184,565,6.336825731,46,"choses","lever",14,1.73684885489988,0.333333333333333,-0.0145046230588283
1,"English",40,0.484629929,"Nonswitch","Homograph",6,-0.359021569,114,0.967426367,231,5.442417711,231,5.442417711,294,5.683579767,294,5.683579767,61,"person","tenant",14,1.73684885489988,0.75,1.57569777788241
1,"English",40,0.484629929,"Nonswitch","Homograph",7,0.015089442,45,-0.587855932,217,5.379897354,217,5.379897354,NA,NA,NA,NA,57,"worried","venue",14,1.73684885489988,0.285714285714286,-0.196242040309253
1,"English",40,0.484629929,"Switch","Nonhomograph",4,-1.10724359,137,1.4858538,NA,NA,153,5.030437921,NA,NA,NA,NA,70,"bien","tire",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",4,-1.10724359,42,-0.655476901,221,5.398162702,221,5.398162702,193,5.262690189,193,5.262690189,45,"time","teeth",14,1.73684885489988,0.4,0.239927761091771
1,"English",40,0.484629929,"Switch","Nonhomograph",11,1.511533484,109,0.854724751,206,5.327876169,530,6.272877007,NA,NA,NA,NA,46,"se plaindre","couch",14,1.73684885489988,0.454545454545455,0.448099711760444
1,"English",40,0.484629929,"Nonswitch","Homograph",8,0.389200452,120,1.102668306,201,5.303304908,201,5.303304908,238,5.472270674,238,5.472270674,45,"prepared","lance",14,1.73684885489988,0.625,1.09863705760004
1,"English",40,0.484629929,"Switch","Nonhomograph",8,0.389200452,68,-0.069428499,353,5.866468057,769,6.64509097,NA,NA,NA,NA,68,"aimaient","duck",14,1.73684885489988,0.25,-0.332545103247074
1,"English",40,0.484629929,"Switch","Homograph",7,0.015089442,97,0.584240873,423,6.047372179,423,6.047372179,252,5.529429088,575,6.354370041,56,"journée","rider",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Nonswitch","Homograph",6,-0.359021569,1,-1.579630151,306,5.723585102,306,5.723585102,184,5.214935758,694,6.542471961,55,"heathy","raisin",14,1.73684885489988,0.142857142857143,-0.741454292060535
1,"English",40,0.484629929,"Switch","Homograph",10,1.137422473,15,-1.264065627,440,6.086774727,440,6.086774727,NA,NA,NA,NA,54,"grand-mère","loin",14,1.73684885489988,0.545454545454545,0.795052962874892
1,"English",40,0.484629929,"Switch","Homograph",12,1.885644494,83,0.268676349,385,5.953243334,385,5.953243334,238,5.472270674,238,5.472270674,72,"correctement","vent",14,1.73684885489988,0.166666666666667,-0.65058558343532
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",8,0.389200452,128,1.282990891,164,5.099866428,164,5.099866428,NA,NA,NA,NA,65,"complain","fleece",14,1.73684885489988,0.454545454545455,0.448099711760444
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",3,-1.4813546,48,-0.520234962,NA,NA,NA,NA,NA,NA,NA,NA,59,"bad","broth",14,1.73684885489988,0.142857142857143,-0.741454292060535
1,"English",40,0.484629929,"Switch","Nonhomograph",4,-1.10724359,126,1.237910245,302,5.710427017,302,5.710427017,208,5.33753808,208,5.33753808,74,"idée","dare",14,1.73684885489988,0.5,0.621576337317668
1,"English",40,0.484629929,"Switch","Nonhomograph",9,0.763311463,142,1.598555416,753,6.624065228,753,6.624065228,308,5.730099783,421,6.042632834,60,"en manque","jingle",14,1.73684885489988,0.111111111111111,-0.862612570227487
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",9,0.763311463,153,1.84649897,156,5.049856007,243,5.493061443,196,5.278114659,196,5.278114659,55,"favourite","shrimp",14,1.73684885489988,0.111111111111111,-0.862612570227487
1,"English",40,0.484629929,"Switch","Homograph",7,0.015089442,0,-1.602170475,1369,7.221835825,1369,7.221835825,337,5.82008293,337,5.82008293,50,"préparé","file",14,1.73684885489988,0.625,1.09863705760004
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",6,-0.359021569,6,-1.466928536,153,5.030437921,153,5.030437921,174,5.159055299,446,6.100318952,67,"health","drunk",14,1.73684885489988,0.333333333333333,-0.0145046230588283
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",7,0.015089442,77,0.13343441,284,5.648974238,491,6.196444128,NA,NA,NA,NA,49,"worried","nick",14,1.73684885489988,0.285714285714286,-0.196242040309253
1,"English",40,0.484629929,"Switch","Nonhomograph",5,-0.733132579,141,1.576015092,530,6.272877007,718,6.576469569,184,5.214935758,420,6.040254711,56,"était","scarf",14,1.73684885489988,0.2,-0.523369391360023
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",3,-1.4813546,57,-0.317372054,NA,NA,NA,NA,185,5.220355825,508,6.230481448,69,"day","piping",14,1.73684885489988,0,-1.28666654381182
1,"English",40,0.484629929,"Switch","Nonhomograph",6,-0.359021569,106,0.787103781,218,5.384495063,218,5.384495063,NA,NA,NA,NA,72,"irrité","hose",14,1.73684885489988,0.555555555555556,0.833603324109835
1,"English",40,0.484629929,"Switch","Homograph",11,1.511533484,101,0.674402166,316,5.755742214,634,6.452048954,NA,NA,205,5.323009979,60,"sécuritaire","ranger",14,1.73684885489988,0.272727272727273,-0.24580679046846
1,"English",40,0.484629929,"Switch","Homograph",11,1.511533484,91,0.448998934,655,6.484635236,655,6.484635236,NA,NA,264,5.575949103,48,"sans valeur","coin",14,1.73684885489988,0.181818181818182,-0.592760041582912
1,"English",40,0.484629929,"Nonswitch","Homograph",4,-1.10724359,80,0.201055379,207,5.332718793,207,5.332718793,NA,NA,NA,NA,63,"hard","net",14,1.73684885489988,0.25,-0.332545103247074
1,"English",40,0.484629929,"Switch","Homograph",10,1.137422473,8,-1.421847889,673,6.51174533,673,6.51174533,NA,NA,NA,NA,52,"se reposer","fort",14,1.73684885489988,0.3,-0.141720815134126
1,"English",40,0.484629929,"Nonswitch","Nonhomograph",6,-0.359021569,123,1.170289275,149,5.003946306,149,5.003946306,NA,NA,NA,NA,61,"person","hunter",14,1.73684885489988,0.75,1.57569777788241
1,"English",40,0.484629929,"Nonswitch","Homograph",5,-0.733132579,63,-0.182130115,NA,NA,NA,NA,201,5.303304908,201,5.303304908,59,"nasty","miser",14,1.73684885489988,0.0909090909090909,-0.939713292697365
2,"English",5,-1.22011891,"Nonswitch","Homograph",3,-1.4813546,57,-0.317372054,NA,NA,NA,NA,269,5.59471138,269,5.59471138,56,"day","rider",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",4,-1.10724359,96,0.56170055,NA,NA,NA,NA,NA,NA,NA,NA,70,"well","tire",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Nonswitch","Homograph",4,-1.10724359,134,1.41823283,242,5.488937726,242,5.488937726,NA,NA,NA,NA,52,"rest","fort",6,-0.318557779526102,0.3,-0.141720815134126
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",3,-1.4813546,1,-1.579630151,168,5.123963979,168,5.123963979,266,5.583496309,266,5.583496309,56,"was","scarf",6,-0.318557779526102,0.2,-0.523369391360023
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",8,0.389200452,48,-0.520234962,147,4.990432587,147,4.990432587,292,5.676753802,292,5.676753802,46,"complain","couch",6,-0.318557779526102,0.454545454545455,0.448099711760444
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",6,-0.359021569,31,-0.903420456,487,6.188264123,487,6.188264123,315,5.752572639,315,5.752572639,62,"advice","fiddle",6,-0.318557779526102,0.125,-0.809605823529445
2,"English",5,-1.22011891,"Switch","Homograph",6,-0.359021569,35,-0.813259164,214,5.365976015,214,5.365976015,177,5.176149733,177,5.176149733,47,"heures","cent",6,-0.318557779526102,0.666666666666667,1.25765729769416
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",7,0.015089442,50,-0.475154316,138,4.927253685,314,5.749392986,168,5.123963979,346,5.846438775,60,"lacking","jingle",6,-0.318557779526102,0.111111111111111,-0.862612570227487
2,"English",5,-1.22011891,"Nonswitch","Homograph",9,0.763311463,144,1.643636062,202,5.308267697,202,5.308267697,238,5.472270674,238,5.472270674,48,"worthless","coin",6,-0.318557779526102,0.181818181818182,-0.592760041582912
2,"English",5,-1.22011891,"Switch","Nonhomograph",6,-0.359021569,141,1.576015092,251,5.525452939,251,5.525452939,235,5.459585514,235,5.459585514,43,"ennuyé","tune",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Switch","Nonhomograph",7,0.015089442,77,0.13343441,163,5.093750201,163,5.093750201,186,5.225746674,186,5.225746674,59,"mauvais","broth",6,-0.318557779526102,0.142857142857143,-0.741454292060535
2,"English",5,-1.22011891,"Switch","Nonhomograph",7,0.015089442,101,0.674402166,326,5.786897381,1068,6.97354302,157,5.056245805,699,6.549650742,55,"préféré","shrimp",6,-0.318557779526102,0.111111111111111,-0.862612570227487
2,"English",5,-1.22011891,"Nonswitch","Homograph",9,0.763311463,26,-1.016122072,192,5.257495372,192,5.257495372,218,5.384495063,1216,7.103322063,62,"following","manger",6,-0.318557779526102,0.111111111111111,-0.862612570227487
2,"English",5,-1.22011891,"Nonswitch","Homograph",5,-0.733132579,90,0.426458611,145,4.976733742,145,4.976733742,162,5.087596335,502,6.21860012,66,"order","pile",6,-0.318557779526102,0.6,1.00322491354356
2,"English",5,-1.22011891,"Switch","Nonhomograph",5,-0.733132579,7,-1.444388212,181,5.198497031,369,5.910796644,219,5.38907173,219,5.38907173,67,"santé","drunk",6,-0.318557779526102,0.333333333333333,-0.0145046230588283
2,"English",5,-1.22011891,"Switch","Nonhomograph",7,0.015089442,125,1.215369922,206,5.327876169,206,5.327876169,297,5.693732139,297,5.693732139,69,"journée","piping",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Nonswitch","Homograph",7,0.015089442,32,-0.880880133,327,5.789960171,327,5.789960171,NA,NA,NA,NA,64,"library","pain",6,-0.318557779526102,0.166666666666667,-0.65058558343532
2,"English",5,-1.22011891,"Switch","Nonhomograph",11,1.511533484,62,-0.204670438,262,5.568344504,872,6.770789424,100,4.605170186,100,4.605170186,63,"contretemps","dig",6,-0.318557779526102,0.181818181818182,-0.592760041582912
2,"English",5,-1.22011891,"Switch","Homograph",7,0.015089442,64,-0.159589792,197,5.283203729,197,5.283203729,188,5.236441963,188,5.236441963,57,"inquiet","venue",6,-0.318557779526102,0.285714285714286,-0.196242040309253
2,"English",5,-1.22011891,"Nonswitch","Homograph",4,-1.10724359,28,-0.971041426,168,5.123963979,168,5.123963979,241,5.484796933,241,5.484796933,70,"good","vest",6,-0.318557779526102,0.2,-0.523369391360023
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",8,0.389200452,114,0.967426367,226,5.420534999,226,5.420534999,264,5.575949103,264,5.575949103,50,"surprise","card",6,-0.318557779526102,0.6,1.00322491354356
2,"English",5,-1.22011891,"Nonswitch","Homograph",4,-1.10724359,121,1.125208629,NA,NA,213,5.361292166,249,5.517452896,249,5.517452896,60,"safe","ranger",6,-0.318557779526102,0.272727272727273,-0.24580679046846
2,"English",5,-1.22011891,"Nonswitch","Homograph",11,1.511533484,4,-1.512009182,198,5.288267031,198,5.288267031,177,5.176149733,177,5.176149733,54,"grandmother","loin",6,-0.318557779526102,0.545454545454545,0.795052962874892
2,"English",5,-1.22011891,"Switch","Homograph",6,-0.359021569,94,0.516619903,157,5.056245805,157,5.056245805,441,6.089044875,441,6.089044875,69,"croire","timbre",6,-0.318557779526102,0.285714285714286,-0.196242040309253
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",4,-1.10724359,65,-0.137049469,NA,NA,NA,NA,NA,NA,NA,NA,68,"like","duck",6,-0.318557779526102,0.25,-0.332545103247074
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",9,0.763311463,43,-0.632936578,204,5.318119994,204,5.318119994,445,6.098074282,445,6.098074282,72,"irritated","hose",6,-0.318557779526102,0.555555555555556,0.833603324109835
2,"English",5,-1.22011891,"Switch","Homograph",5,-0.733132579,158,1.959200586,210,5.347107531,210,5.347107531,305,5.720311777,305,5.720311777,67,"risée","roman",6,-0.318557779526102,0.153846153846154,-0.699514888079667
2,"English",5,-1.22011891,"Nonswitch","Homograph",4,-1.10724359,112,0.92234572,183,5.209486153,183,5.209486153,174,5.159055299,174,5.159055299,68,"like","rose",6,-0.318557779526102,0.166666666666667,-0.65058558343532
2,"English",5,-1.22011891,"Switch","Nonhomograph",5,-0.733132579,99,0.629321519,223,5.407171771,489,6.192362489,NA,NA,NA,NA,73,"liste","leash",6,-0.318557779526102,0.8,1.76652206599536
2,"English",5,-1.22011891,"Nonswitch","Homograph",5,-0.733132579,173,2.297305434,177,5.176149733,177,5.176149733,NA,NA,NA,NA,74,"later","sale",6,-0.318557779526102,0.333333333333333,-0.0145046230588283
2,"English",5,-1.22011891,"Switch","Homograph",4,-1.10724359,49,-0.497694639,238,5.472270674,238,5.472270674,522,6.257667588,522,6.257667588,73,"peau","rayon",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Switch","Homograph",11,1.511533484,149,1.756337678,243,5.493061443,243,5.493061443,208,5.33753808,327,5.789960171,59,"désagréable","miser",6,-0.318557779526102,0.0909090909090909,-0.939713292697365
2,"English",5,-1.22011891,"Switch","Nonhomograph",6,-0.359021569,170,2.229684464,249,5.517452896,249,5.517452896,NA,NA,NA,NA,47,"maison","book",6,-0.318557779526102,0.166666666666667,-0.65058558343532
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",5,-0.733132579,60,-0.249751084,219,5.38907173,219,5.38907173,NA,NA,NA,NA,64,"hours","bath",6,-0.318557779526102,0.4,0.239927761091771
2,"English",5,-1.22011891,"Switch","Nonhomograph",5,-0.733132579,92,0.471539257,229,5.433722004,229,5.433722004,NA,NA,235,5.459585514,71,"avoir","sip",6,-0.318557779526102,0.2,-0.523369391360023
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",4,-1.10724359,14,-1.28660595,176,5.170483995,176,5.170483995,NA,NA,NA,NA,74,"idea","dare",6,-0.318557779526102,0.5,0.621576337317668
2,"English",5,-1.22011891,"Switch","Homograph",7,0.015089442,157,1.936660263,413,6.023447593,413,6.023447593,257,5.549076085,257,5.549076085,45,"préparé","lance",6,-0.318557779526102,0.625,1.09863705760004
2,"English",5,-1.22011891,"Switch","Homograph",8,0.389200452,67,-0.091968822,304,5.717027701,618,6.426488457,216,5.375278408,462,6.135564891,43,"aimaient","chat",6,-0.318557779526102,0.25,-0.332545103247074
2,"English",5,-1.22011891,"Nonswitch","Homograph",3,-1.4813546,56,-0.339912377,161,5.081404365,161,5.081404365,134,4.8978398,134,4.8978398,44,"sun","court",6,-0.318557779526102,0.166666666666667,-0.65058558343532
2,"English",5,-1.22011891,"Switch","Nonhomograph",5,-0.733132579,95,0.539160227,215,5.370638028,215,5.370638028,301,5.707110265,301,5.707110265,45,"temps","teeth",6,-0.318557779526102,0.4,0.239927761091771
2,"English",5,-1.22011891,"Switch","Nonhomograph",13,2.259755505,87,0.358837641,567,6.340359304,1079,6.983789965,164,5.099866428,699,6.549650742,53,"avertissement","camp",6,-0.318557779526102,0.230769230769231,-0.405939060213592
2,"English",5,-1.22011891,"Switch","Nonhomograph",7,0.015089442,11,-1.35422692,261,5.564520407,1865,7.531016332,NA,NA,NA,NA,49,"inquiet","nick",6,-0.318557779526102,0.285714285714286,-0.196242040309253
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",6,-0.359021569,124,1.192829599,185,5.220355825,185,5.220355825,NA,NA,NA,NA,52,"needed","corn",6,-0.318557779526102,0.133333333333333,-0.777801775510622
2,"English",5,-1.22011891,"Switch","Nonhomograph",8,0.389200452,81,0.223595702,310,5.736572297,310,5.736572297,149,5.003946306,442,6.091309882,61,"personne","hunter",6,-0.318557779526102,0.75,1.57569777788241
2,"English",5,-1.22011891,"Switch","Homograph",10,1.137422473,102,0.696942489,376,5.929589143,376,5.929589143,202,5.308267697,202,5.308267697,65,"exemplaire","parole",6,-0.318557779526102,0.8,1.76652206599536
2,"English",5,-1.22011891,"Switch","Nonhomograph",8,0.389200452,19,-1.173904334,251,5.525452939,517,6.248042875,NA,NA,NA,NA,57,"plaintes","trash",6,-0.318557779526102,0.6,1.00322491354356
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",8,0.389200452,118,1.05758766,NA,NA,NA,NA,187,5.231108617,335,5.814130532,58,"vacation","penguin",6,-0.318557779526102,0.5,0.621576337317668
2,"English",5,-1.22011891,"Nonswitch","Homograph",8,0.389200452,156,1.91411994,246,5.505331536,246,5.505331536,405,6.003887067,405,6.003887067,72,"properly","vent",6,-0.318557779526102,0.166666666666667,-0.65058558343532
2,"English",5,-1.22011891,"Switch","Homograph",3,-1.4813546,78,0.155974733,280,5.634789603,280,5.634789603,NA,NA,NA,NA,63,"dur","net",6,-0.318557779526102,0.25,-0.332545103247074
2,"English",5,-1.22011891,"Nonswitch","Homograph",6,-0.359021569,162,2.049361879,229,5.433722004,229,5.433722004,366,5.902633333,366,5.902633333,46,"things","lever",6,-0.318557779526102,0.333333333333333,-0.0145046230588283
2,"English",5,-1.22011891,"Nonswitch","Homograph",8,0.389200452,16,-1.241525304,607,6.408528791,977,6.884486652,199,5.293304825,199,5.293304825,50,"prepared","file",6,-0.318557779526102,0.625,1.09863705760004
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",6,-0.359021569,166,2.139523172,213,5.361292166,213,5.361292166,568,6.342121419,568,6.342121419,54,"recipe","boar",6,-0.318557779526102,0.571428571428571,0.894182463193307
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",3,-1.4813546,172,2.274765111,NA,NA,NA,NA,224,5.411646052,224,5.411646052,48,"bad","soap",6,-0.318557779526102,0.142857142857143,-0.741454292060535
2,"English",5,-1.22011891,"Switch","Homograph",8,0.389200452,52,-0.43007367,184,5.214935758,184,5.214935758,280,5.634789603,280,5.634789603,61,"personne","tenant",6,-0.318557779526102,0.75,1.57569777788241
2,"English",5,-1.22011891,"Nonswitch","Homograph",5,-0.733132579,79,0.178515056,179,5.187385806,179,5.187385806,241,5.484796933,241,5.484796933,58,"store","dresser",6,-0.318557779526102,0,-1.28666654381182
2,"English",5,-1.22011891,"Switch","Homograph",9,0.763311463,37,-0.768178517,136,4.912654886,354,5.869296913,229,5.433722004,229,5.433722004,51,"regardait","fin",6,-0.318557779526102,0.111111111111111,-0.862612570227487
2,"English",5,-1.22011891,"Switch","Homograph",11,1.511533484,76,0.110894086,464,6.139884552,464,6.139884552,379,5.937536205,379,5.937536205,71,"raisonnable","ton",6,-0.318557779526102,0.727272727272727,1.4889594651038
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",4,-1.10724359,133,1.395692507,169,5.129898715,169,5.129898715,217,5.379897354,217,5.379897354,66,"time","tent",6,-0.318557779526102,0.4,0.239927761091771
2,"English",5,-1.22011891,"Switch","Homograph",13,2.259755505,109,0.854724751,482,6.177944114,482,6.177944114,179,5.187385806,179,5.187385806,49,"soigneusement","dent",6,-0.318557779526102,0.0769230769230769,-0.993090715945742
2,"English",5,-1.22011891,"Switch","Nonhomograph",11,1.511533484,46,-0.565315609,429,6.061456919,1230,7.114769448,191,5.252273428,191,5.252273428,65,"se plaindre","fleece",6,-0.318557779526102,0.454545454545455,0.448099711760444
2,"English",5,-1.22011891,"Nonswitch","Nonhomograph",4,-1.10724359,82,0.246136025,233,5.451038454,233,5.451038454,218,5.384495063,218,5.384495063,44,"knew","hotel",6,-0.318557779526102,0.153846153846154,-0.699514888079667
2,"English",5,-1.22011891,"Switch","Homograph",14,2.633866516,142,1.598555416,775,6.652863029,775,6.652863029,160,5.075173815,160,5.075173815,55,"en bonne santé","raisin",6,-0.318557779526102,0.142857142857143,-0.741454292060535
3,"English",50,0.971701026,"Switch","Nonhomograph",13,2.259755505,112,0.92234572,403,5.998936562,1669,7.419979924,175,5.164785974,175,5.164785974,44,"connaissaient","hotel",8,0.195293879080394,0.153846153846154,-0.699514888079667
