"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word"
"4","English",40,0.484629929051245,"Nonswitch","Nonhomograph",3,-1.48135460047473,66,-0.114509145347722,NA,NA,NA,NA,259,5.55682806169954,259,5.55682806169954,48,"bad","soap"
"4","English",40,0.484629929051245,"Switch","Nonhomograph",5,-0.733132579380266,124,1.19282959854044,NA,NA,NA,NA,205,5.32300997913841,371,5.91620206260743,67,"santé","drunk"
"4","English",40,0.484629929051245,"Switch","Nonhomograph",6,-0.359021568833035,9,-1.3993075660654,97,4.57471097850338,97,4.57471097850338,321,5.77144112313002,321,5.77144112313002,43,"ennuyé","tune"
"4","English",40,0.484629929051245,"Switch","Homograph",6,-0.359021568833035,30,-0.925960779485202,401,5.99396142730657,401,5.99396142730657,860,6.75693238924755,1075,6.98007594056176,69,"croire","timbre"
"4","English",40,0.484629929051245,"Switch","Homograph",11,1.51153348390312,2,-1.5570898282588,662,6.49526555593701,662,6.49526555593701,NA,NA,NA,NA,71,"raisonnable","ton"
"4","English",40,0.484629929051245,"Nonswitch","Homograph",9,0.763311462808659,105,0.764563458301214,208,5.33753807970132,208,5.33753807970132,230,5.4380793089232,230,5.4380793089232,62,"following","manger"
"4","English",40,0.484629929051245,"Nonswitch","Nonhomograph",6,-0.359021568833035,103,0.719482811960243,132,4.88280192258637,433,6.07073772800249,325,5.78382518232974,325,5.78382518232974,62,"advice","fiddle"
"4","English",40,0.484629929051245,"Nonswitch","Homograph",3,-1.48135460047473,125,1.21536992171093,NA,NA,NA,NA,198,5.28826703069454,198,5.28826703069454,56,"day","rider"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",13,2.25975550499758,53,-0.407533346564034,764,6.63856778916652,909,6.81234509417748,217,5.37989735354046,438,6.08221891037645,44,"connaissaient","hotel"
"5","English",15,-0.73304781304801,"Switch","Homograph",9,0.763311462808659,84,0.291216671721018,NA,NA,480,6.17378610390194,209,5.34233425196481,209,5.34233425196481,74,"plus tard","sale"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",4,-1.1072435899275,113,0.944886043665099,NA,NA,206,5.32787616878958,363,5.89440283426485,523,6.25958146406492,51,"fear","paw"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",7,0.0150894417141963,116,1.01250701317656,120,4.78749174278205,346,5.84643877505772,168,5.12396397940326,1706,7.44190672805162,69,"believe","timbre"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",8,0.389200452261428,104,0.742023135130729,NA,NA,111,4.70953020131233,263,5.57215403217776,444,6.09582456243222,65,"complain","fleece"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",5,-0.733132579380266,70,-0.02434785266578,424,6.04973345523196,424,6.04973345523196,175,5.16478597392351,175,5.16478597392351,56,"était","scarf"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",5,-0.733132579380266,103,0.719482811960243,211,5.35185813347607,452,6.11368217983223,NA,NA,NA,NA,43,"bored","tune"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",5,-0.733132579380266,21,-1.12882368801957,169,5.12989871492307,169,5.12989871492307,211,5.35185813347607,211,5.35185813347607,59,"nasty","miser"
"5","English",15,-0.73304781304801,"Switch","Homograph",11,1.51153348390312,49,-0.497694639245976,NA,NA,NA,NA,NA,NA,NA,NA,48,"sans valeur","coin"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",3,-1.48135460047473,34,-0.83579948680326,NA,NA,NA,NA,337,5.82008293035236,1068,6.97354301952014,69,"day","piping"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",10,1.13742247335589,20,-1.15136401119006,591,6.3818160174061,591,6.3818160174061,418,6.03548143252476,418,6.03548143252476,57,"complaints","trash"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",6,-0.359021568833035,80,0.201055379039075,NA,NA,NA,NA,248,5.51342874616498,248,5.51342874616498,55,"heathy","raisin"
"5","English",15,-0.73304781304801,"Switch","Homograph",10,1.13742247335589,33,-0.858339809973745,1661,7.41517510961329,2165,7.68017564043659,283,5.64544689764324,1462,7.28756064030972,52,"se reposer","fort"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",4,-1.1072435899275,115,0.98996669000607,128,4.85203026391962,249,5.51745289646471,487,6.18826412308259,487,6.18826412308259,71,"have","sip"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",9,0.763311462808659,5,-1.48946885874734,431,6.06610809010375,431,6.06610809010375,243,5.49306144334055,950,6.85646198459459,65,"exemplary","parole"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",5,-0.733132579380266,72,0.0207327936751911,NA,NA,NA,NA,165,5.10594547390058,165,5.10594547390058,47,"hours","cent"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",5,-0.733132579380266,39,-0.723097870950832,230,5.4380793089232,230,5.4380793089232,NA,NA,NA,NA,66,"temps","tent"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",4,-1.1072435899275,76,0.110894086357133,NA,NA,228,5.42934562895444,300,5.7037824746562,688,6.53378883793334,73,"list","leash"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",6,-0.359021568833035,64,-0.159589791688693,NA,NA,164,5.0998664278242,297,5.6937321388027,481,6.17586727010576,61,"person","tenant"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",7,0.0150894417141963,82,0.246136025380047,224,5.41164605185504,224,5.41164605185504,NA,NA,NA,NA,53,"warning","camp"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",7,0.0150894417141963,32,-0.880880133144231,304,5.71702770140622,1580,7.36518012602101,270,5.59842195899838,270,5.59842195899838,49,"worried","nick"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",4,-1.1072435899275,117,1.03504733634704,NA,NA,90,4.49980967033027,218,5.38449506278909,218,5.38449506278909,73,"skin","rayon"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",8,0.389200452261428,75,0.0883537631866478,307,5.7268477475872,543,6.29710931993394,NA,NA,1056,6.96224346426621,45,"prepared","lance"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",4,-1.1072435899275,67,-0.0919688221772366,459,6.12905021006055,459,6.12905021006055,247,5.50938833662798,247,5.50938833662798,70,"bien","tire"
"5","English",15,-0.73304781304801,"Switch","Homograph",5,-0.733132579380266,87,0.358837641232474,196,5.27811465923052,269,5.59471137960184,NA,NA,NA,NA,66,"ordre","pile"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",3,-1.48135460047473,62,-0.204670438029664,169,5.12989871492307,169,5.12989871492307,210,5.34710753071747,515,6.24416690066374,59,"bad","broth"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",7,0.0150894417141963,48,-0.520234962416462,218,5.38449506278909,387,5.95842469302978,NA,NA,NA,NA,57,"worried","venue"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",8,0.389200452261428,44,-0.610396255098404,232,5.44673737166631,411,6.01859321449623,131,4.87519732320115,483,6.18001665365257,62,"conseils","fiddle"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",4,-1.1072435899275,66,-0.114509145347722,280,5.63478960316925,483,6.18001665365257,301,5.70711026474888,301,5.70711026474888,63,"hard","net"
"5","English",15,-0.73304781304801,"Switch","Homograph",10,1.13742247335589,74,0.0658134400161622,370,5.91350300563827,370,5.91350300563827,242,5.48893772615669,242,5.48893772615669,54,"grand-mère","loin"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",4,-1.1072435899275,7,-1.44438821240637,NA,NA,NA,NA,150,5.01063529409626,150,5.01063529409626,45,"time","teeth"
"5","English",15,-0.73304781304801,"Switch","Homograph",12,1.88564449445035,111,0.899805397324127,468,6.14846829591765,636,6.45519856334012,195,5.27299955856375,257,5.54907608489522,72,"correctement","vent"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",10,1.13742247335589,24,-1.06120271850812,419,6.03787091992214,2168,7.68156036255954,169,5.12989871492307,169,5.12989871492307,64,"des heures","bath"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",5,-0.733132579380266,52,-0.43007366973452,NA,NA,NA,NA,NA,NA,160,5.07517381523383,47,"house","book"
"5","English",15,-0.73304781304801,"Switch","Homograph",6,-0.359021568833035,45,-0.587855931927919,498,6.21060007702465,715,6.57228254269401,247,5.50938833662798,449,6.10702288774225,44,"soleil","court"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",11,1.51153348390312,63,-0.182130114859179,NA,NA,NA,NA,NA,NA,NA,NA,46,"se plaindre","couch"
"5","English",15,-0.73304781304801,"Switch","Homograph",6,-0.359021568833035,11,-1.35422691972443,731,6.59441345974978,731,6.59441345974978,247,5.50938833662798,524,6.26149168432104,68,"aimait","rose"
"5","English",15,-0.73304781304801,"Switch","Homograph",7,0.0150894417141963,46,-0.565315608757433,473,6.15909538849193,916,6.82001636467413,225,5.41610040220442,482,6.1779441140506,56,"journée","rider"
"5","English",15,-0.73304781304801,"Switch","Homograph",5,-0.733132579380266,54,-0.384993023393549,263,5.57215403217776,263,5.57215403217776,NA,NA,NA,NA,70,"bonne","vest"
